# How each leaf of the specialty tree is treated by
# scripts/derive-treatments.mjs: is it something a patient HAS, or
# something a clinician DOES?
#
# The kinds below were produced by a keyword rule and it is wrong in
# places. Correct a row here and the correction wins, permanently.
# kind: treatment | condition | skip
#
# matchesOn is what the scanner actually looks for in a description.
#
# note says why a row was corrected by hand. An empty note means the
# keyword rule's answer was right and nobody has touched it.
#
# kind: skip means the matcher ignores this leaf. Fourteen names are
# filed twice in the tree — Root Canal Treatment sits under both
# General Dentistry and Endodontics — and both copies matched, so
# profiles printed the name twice. One of each pair is skipped.
#
slug,kind,name,branch,matchesOn,note
knee-arthritis-osteoarthritis,condition,Knee Arthritis / Osteoarthritis,orthopaedics,Knee Arthritis | Knee Osteoarthritis,
knee-replacement,treatment,Knee Replacement,orthopaedics,Knee Replacement,
total-knee-replacement,treatment,Total Knee Replacement,orthopaedics,Total Knee Replacement,
unicompartmental-partial-knee-replacement,treatment,Unicompartmental / Partial Knee Replacement,orthopaedics,Unicompartmental | Partial Knee Replacement,
robotic-knee-replacement,treatment,Robotic Knee Replacement,orthopaedics,Robotic Knee Replacement,
revision-knee-replacement,treatment,Revision Knee Replacement,orthopaedics,Revision Knee Replacement,
complex-knee-replacement,treatment,Complex Knee Replacement,orthopaedics,Complex Knee Replacement,
knee-replacement-second-opinion,treatment,Knee Replacement Second Opinion,orthopaedics,Knee Replacement Second Opinion,"a service somebody books, not something they have — the keyword rule had no word for it"
painful-knee-replacement,condition,Painful Knee Replacement,orthopaedics,Painful Knee Replacement,
knee-replacement-infection,condition,Knee Replacement Infection,orthopaedics,Knee Replacement Infection,
knee-replacement-loosening,condition,Knee Replacement Loosening,orthopaedics,Knee Replacement Loosening,
knee-replacement-instability,condition,Knee Replacement Instability,orthopaedics,Knee Replacement Instability,
knee-arthroscopy,treatment,Knee Arthroscopy,orthopaedics,Knee Arthroscopy,
meniscus-tear,condition,Meniscus Tear,orthopaedics,Meniscus Tear,
meniscus-surgery,treatment,Meniscus Surgery,orthopaedics,Meniscus Surgery,
meniscus-repair,treatment,Meniscus Repair,orthopaedics,Meniscus Repair,
meniscectomy,treatment,Meniscectomy,orthopaedics,Meniscectomy,
root-meniscus-tear-repair,treatment,Root Meniscus Tear / Repair,orthopaedics,Root Meniscus Tear | Root Meniscus Repair,
acl-injury,condition,ACL Injury,orthopaedics,ACL Injury,
acl-reconstruction,treatment,ACL Reconstruction,orthopaedics,ACL Reconstruction,
revision-acl-reconstruction,treatment,Revision ACL Reconstruction,orthopaedics,Revision ACL Reconstruction,
pcl-injury-reconstruction,treatment,PCL Injury / Reconstruction,orthopaedics,PCL Injury | PCL Reconstruction,
mcl-injury,condition,MCL Injury,orthopaedics,MCL Injury,
lcl-posterolateral-corner-injury,condition,LCL / Posterolateral Corner Injury,orthopaedics,Posterolateral Corner Injury,
multi-ligament-knee-injury,condition,Multi-ligament Knee Injury,orthopaedics,Multi-ligament Knee Injury,
patellar-instability-dislocation,condition,Patellar Instability / Dislocation,orthopaedics,Patellar Instability | Patellar Dislocation,
mpfl-reconstruction,treatment,MPFL Reconstruction,orthopaedics,MPFL Reconstruction,
patellofemoral-pain,condition,Patellofemoral Pain,orthopaedics,Patellofemoral Pain,
patellofemoral-arthritis,condition,Patellofemoral Arthritis,orthopaedics,Patellofemoral Arthritis,
knee-cartilage-injury,condition,Cartilage Injury,orthopaedics,Cartilage Injury,
cartilage-repair-restoration,treatment,Cartilage Repair / Restoration,orthopaedics,Cartilage Repair | Cartilage Restoration,
osteochondral-defect,condition,Osteochondral Defect,orthopaedics,Osteochondral Defect,
knee-osteotomy,treatment,Knee Osteotomy,orthopaedics,Knee Osteotomy,
high-tibial-osteotomy,treatment,High Tibial Osteotomy,orthopaedics,High Tibial Osteotomy,
distal-femoral-osteotomy,treatment,Distal Femoral Osteotomy,orthopaedics,Distal Femoral Osteotomy,
knee-sports-knee-injury,condition,Sports Knee Injury,orthopaedics,Sports Knee Injury,
anterior-knee-pain,condition,Anterior Knee Pain,orthopaedics,Anterior Knee Pain,
knee-swelling,condition,Knee Swelling,orthopaedics,Knee Swelling,
bakers-cyst,condition,Baker's Cyst,orthopaedics,Baker's Cyst,
knee-bursitis,condition,Knee Bursitis,orthopaedics,Knee Bursitis,
knee-tendon-injury,condition,Knee Tendon Injury,orthopaedics,Knee Tendon Injury,
